document_id;scope;territory;quality;token_count;reliability;cash_support_matches;cash_support_per_10000_words;housing_matches;housing_per_10000_words;childcare_matches;childcare_per_10000_words;reproductive_health_matches;reproductive_health_per_10000_words;student_families_matches;student_families_per_10000_words;large_families_matches;large_families_per_10000_words;work_family_balance_matches;work_family_balance_per_10000_words;employers_matches;employers_per_10000_words;fatherhood_matches;fatherhood_per_10000_words;family_values_matches;family_values_per_10000_words;rural_territories_matches;rural_territories_per_10000_words;monitoring_matches;monitoring_per_10000_words
regional-altaiskii-krai;regional;Алтайский край;full;8573;standard;103;120,14;34;39,66;12;14,0;6;7,0;15;17,5;39;45,49;4;4,67;14;16,33;1;1,17;21;24,5;4;4,67;8;9,33
regional-amurskaia-oblast;regional;Амурская область;full;15671;standard;58;37,01;68;43,39;96;61,26;32;20,42;18;11,49;32;20,42;6;3,83;5;3,19;0;0,0;4;2,55;15;9,57;14;8,93
regional-arkhangelskaia-oblast;regional;Архангельская область;full;19960;standard;58;29,06;73;36,57;44;22,04;51;25,55;13;6,51;60;30,06;8;4,01;5;2,51;1;0,5;21;10,52;27;13,53;11;5,51
regional-astrakhanskaia-oblast;regional;Астраханская область;full;13974;standard;24;17,17;29;20,75;38;27,19;26;18,61;2;1,43;24;17,17;2;1,43;0;0,0;0;0,0;2;1,43;11;7,87;1;0,72
regional-belgorodskaia-oblast;regional;Белгородская область;full;17304;standard;16;9,25;51;29,47;21;12,14;29;16,76;6;3,47;24;13,87;3;1,73;8;4,62;1;0,58;5;2,89;6;3,47;10;5,78
regional-brianskaia-oblast;regional;Брянская область;full;10919;standard;42;38,47;31;28,39;17;15,57;16;14,65;12;10,99;35;32,05;6;5,5;3;2,75;1;0,92;9;8,24;14;12,82;17;15,57
regional-vladimirskaia-oblast;regional;Владимирская область;full;10513;standard;69;65,63;44;41,85;21;19,98;28;26,63;4;3,8;28;26,63;1;0,95;0;0,0;4;3,8;4;3,8;1;0,95;7;6,66
regional-vologodskaia-oblast;regional;Вологодская область;partial;4534;limited;21;46,32;8;17,64;5;11,03;6;13,23;8;17,64;17;37,49;0;0,0;2;4,41;1;2,21;3;6,62;2;4,41;0;0,0
regional-voronezhskaia-oblast;regional;Воронежская область;full;17218;standard;70;40,66;80;46,46;18;10,45;30;17,42;26;15,1;92;53,43;6;3,48;4;2,32;6;3,48;18;10,45;12;6,97;3;1,74
regional-evreiskaia-avtonomnaia-oblast;regional;Еврейская автономная область;full;12020;standard;16;13,31;5;4,16;6;4,99;8;6,66;12;9,98;14;11,65;0;0,0;3;2,5;11;9,15;2;1,66;5;4,16;1;0,83
